      1 apalpa apalpar VMIP3S0
      1 aparecem aparecer VMIP3P0
      1 aparelhou aparelhar VMIS3S0
      1 Apearam apear VMIS3P0
      1 apeava apear VMII3S0
      1 apegaram apegar VMIS3P0
      1 apelava apelar VMII3S0
      1 Apelou apelar VMIS3S0
      1 Apeou apear VMIS3S0
      1 Aperra aperrar VMIP3S0
      1 apertava apertar VMII3S0
      1 apiedara apiedar VMIM3S0
      1 aplacaram aplacar VMIS3P0
      1 apoiou apoiar VMIS3S0
      1 apontara apontar VMIM3S0
      1 apontava apontar VMII3S0
      1 aporfiaram aporfiar VMIS3P0
      1 apoucam apoucar VMIP3P0
      1 aprecia apreciar VMIP3S0
      1 apresentou apresentar VMIS3S0
      1 apressaram apressar VMIS3P0
      1 aproveitarei aproveitar VMIF1S0
      1 aproveito aproveitar VMIP1S0
      1 aprovou aprovar VMIS3S0
      1 aproximava aproximar VMII3S0
      1 aproximou aproximar VMIS3S0
      1 aprumo aprumar VMIP1S0
      1 aquietou aquietar VMIS3S0
      1 ardia arder VMII3S0
      1 arfavam arfar VMII3P0
      1 argumentava argumentar VMII3S0
      1 armam armar VMIP3P0
      1 armaria armar VMIC3S0
      1 armou armar VMIS3S0
      1 aromas aromar VMIP2S0
      1 arquejava arquejar VMII3S0
      1 arrancara arrancar VMIM3S0
      1 arranjarei arranjar VMIF1S0
      1 arranjaste arranjar VMIS2S0
      1 arranjo arranjar VMIP1S0
      1 arrasta arrastar VMIP3S0
      1 arrebataria arrebatar VMIC3S0
      1 arrebentas arrebentar VMIP2S0
      1 arrefece arrefecer VMIP3S0
      1 Arriba arribar VMIP3S0
      1 arrobas arrobar VMIP2S0
      1 arrumava arrumar VMII3S0
      1 artificiais artificiar VMIP2P0
      1 asa asar VMIP3S0
      1 aspiravam aspirar VMII3P0
      1 assacou assacar VMIS3S0
      1 assaltam assaltar VMIP3P0
      1 assassino assassinar VMIP1S0
      1 asseguravam assegurar VMII3P0
      1 assentou assentar VMIS3S0
      1 asseverou asseverar VMIS3S0
      1 assina assinar VMIP3S0
      1 assinaram assinar VMIS3P0
      1 assinei assinar VMIS1S0
      1 assistiu assistir VMIS3S0
      1 assombram assombrar VMIP3P0
      1 assombrava assombrar VMII3S0
      1 Assombrou assombrar VMIS3S0
      1 assumiu assumir VMIS3S0
      1 assustavam assustar VMII3P0
      1 atenda atendar VMIP3S0
      1 atento atentar VMIP1S0
      1 aterra aterrar VMIP3S0
      1 atinava atinar VMII3S0
      1 atingem atingir VMIP3P0
      1 atinou atinar VMIS3S0
      1 atiraste atirar VMIS2S0
      1 atirou atirar VMIS3S0
      1 atormentava atormentar VMII3S0
      1 atou atar VMIS3S0
      1 Atou atar VMIS3S0
      1 atracou atracar VMIS3S0
      1 atraíste atrair VMIS2S0
      1 atravessavam atravessar VMII3P0
      1 atravessou atravessar VMIS3S0
      1 atreveu atrever VMIS3S0
      1 atribuem atribuir VMIP3P0
      1 atribuí atribuir VMIS1S0
      1 aumentava aumentar VMII3S0
      1 autorizava autorizar VMII3S0
      1 avaliava avaliar VMII3S0
      1 aventurou aventurar VMIS3S0
      1 avesso avessar VMIP1S0
      1 avilto aviltar VMIP1S0
      1 avisa avisar VMIP3S0
      1 aviso avisar VMIP1S0
      1 avista avistar VMIP3S0
      1 avultava avultar VMII3S0
      1 azedava azedar VMII3S0
      1 azo azar VMIP1S0
      1 bacorejava bacorejar VMII3S0
      1 baixo baixar VMIP1S0
      1 baixou baixar VMIS3S0
      1 balançava balançar VMII3S0
      1 balbuciavam balbuciar VMII3P0
      1 barata baratar VMIP3S0
      1 basta bastar VMIP3S0
      1 Basta bastar VMIP3S0
      1 bastaria bastar VMIC3S0
      1 bastava bastar VMII3S0
      1 bastou bastar VMIS3S0
      1 batem bater VMIP3P0
      1 batia bater VMII3S0
      1 bebe beber VMIP3S0
      1 bebem beber VMIP3P0
      1 bebera beberar VMIP3S0
      1 beijo beijar VMIP1S0
      1 beijou beijar VMIS3S0
      1 Beijou beijar VMIS3S0
      1 benquista benquistar VMIP3S0
      1 benquisto benquistar VMIP1S0
      1 bole bolir VMIP3S0
      1 bolsava bolsar VMII3S0
      1 bradava bradar VMII3S0
      1 bramia bramir VMII3S0
      1 bramiu bramir VMIS3S0
      1 brinca brincar VMIP3S0
      1 brincava brincar VMII3S0
      1 Brito britar VMIP1S0
      1 bulha bulhar VMIP3S0
      1 buliu bulir VMIS3S0
      1 Buscaram buscar VMIS3P0
      1 buscou buscar VMIS3S0
      1 Busquei buscar VMIS1S0
      1 cabeceava cabecear VMII3S0
      1 cabem caber VMIP3P0
      1 caiam caiar VMIP3P0
      1 caíram cair VMIS3P0
      1 Caiu cair VMIS3S0
      1 calaram calar VMIS3P0
      1 Calaram calar VMIS3P0
      1 caminho caminhar VMIP1S0
      1 candeias candear VMIP2S0
      1 cansam cansar VMIP3P0
      1 carece carecer VMIP3S0
      1 carecia carecer VMII3S0
      1 carregava carregar VMII3S0
      1 casava casar VMII3S0
      1 casou casar VMIS3S0
      1 castiga castigar VMIP3S0
      1 castigava castigar VMII3S0
      1 castigo castigar VMIP1S0
      1 cativa cativar VMIP3S0
      1 causaram causar VMIS3P0
      1 cavalavam cavalar VMII3P0
      1 cavalgou cavalgar VMIS3S0
      1 cedia ceder VMII3S0
      1 censura censurar VMIP3S0
      1 cessa cessar VMIP3S0
      1 chamaram chamar VMIS3P0
      1 chamavam chamar VMII3P0
      1 chamo chamar VMIP1S0
      1 Chega chegar VMIP3S0
      1 chegam chegar VMIP3P0
      1 chegamos chegar VMIS1P0
      1 chegará chegar VMIF3S0
      1 chegara chegar VMIM3S0
      1 chegaria chegar VMIC3S0
      1 chegavam chegar VMII3P0
      1 cheiro cheirar VMIP1S0
      1 Choraram chorar VMIS3P0
      1 Chorava chorar VMII3S0
      1 Chorou chorar VMIS3S0
      1 Chovem chover VMIP3P0
      1 ciliciava ciliciar VMII3S0
      1 cingiu cingir VMIS3S0
      1 cintou cintar VMIS3S0
      1 cismou cismar VMIS3S0
      1 cita citar VMIP3S0
      1 clamou clamar VMIS3S0
      1 coava coar VMII3S0
      1 coçava coçar VMII3S0
      1 cogita cogitar VMIP3S0
      1 coisas coisar VMIP2S0
      1 colhe colher VMIP3S0
      1 comem comer VMIP3P0
      1 comeu comer VMIS3S0
      1 como comer VMIP1S0
      1 comparo comparar VMIP1S0
      1 compartia compartir VMII3S0
      1 compete competir VMIP3S0
      1 comprara comprar VMIM3S0
      1 compraz comprazer VMIP3S0
      1 compreendes compreender VMIP2S0
      1 compreendeu compreender VMIS3S0
      1 compreendi compreender VMIS1S0
      1 compungiria compungir VMIC3S0
      1 compunjo compungir VMIP1S0
      1 comungou comungar VMIS3S0
      1 comunicara comunicar VMIM3S0
      1 comuta comutar VMIP3S0
      1 comutou comutar VMIS3S0
      1 concedia conceder VMII3S0
      1 concentravam concentrar VMII3P0
      1 condena condenar VMIP3S0
      1 condenas condenar VMIP2S0
      1 condenavam condenar VMII3P0
      1 condenou condenar VMIS3S0
      1 conduzia conduzir VMII3S0
      1 confessa confessar VMIP3S0
      1 Confessa confessar VMIP3S0
      1 confesso confessar VMIP1S0
      1 confiava confiar VMII3S0
      1 conforma conformar VMIP3S0
      1 conformou conformar VMIS3S0
      1 congelou congelar VMIS3S0
      1 congratulou congratular VMIS3S0
      1 Conhece conhecer VMIP3S0
      1 conhecerás conhecer VMIF2S0
      1 conheceria conhecer VMIC3S0
      1 conheceu conhecer VMIS3S0
      1 conheciam conhecer VMII3P0
      1 Conjeturou conjeturar VMIS3S0
      1 conjuraram conjurar VMIS3P0
      1 consegues conseguir VMIP2S0
      1 consegui conseguir VMIS1S0
      1 conseguirá conseguir VMIF3S0
      1 conseguira conseguir VMIM3S0
      1 Conseguiu conseguir VMIS3S0
      1 consentia consentir VMII3S0
      1 consentiria consentir VMIC3S0
      1 conserva conservar VMIP3S0
      1 conservava conservar VMII3S0
      1 considerava considerar VMII3S0
      1 Considero considerar VMIP1S0
      1 consigo conseguir VMIP1S0
      1 Consigo conseguir VMIP1S0
      1 consinto consentir VMIP1S0
      1 consola consolar VMIP3S0
      1 conspiraram conspirar VMIS3P0
      1 constava constar VMII3S0
